T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
694,Sierra Leone,2022,GDP in constant 2015 prices (millions of US dollars),"8,815",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2023,GDP in constant 2015 prices (millions of US dollars),"9,319",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,1995,GDP real rates of growth (percent),-10,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2005,GDP real rates of growth (percent),4.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2010,GDP real rates of growth (percent),5.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2015,GDP real rates of growth (percent),-11.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2020,GDP real rates of growth (percent),-1.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2022,GDP real rates of growth (percent),5.3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
694,Sierra Leone,2023,GDP real rates of growth (percent),5.7,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,1995,GDP in current prices (millions of US dollars),"87,813",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2005,GDP in current prices (millions of US dollars),"127,808",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2010,GDP in current prices (millions of US dollars),"239,808",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2015,GDP in current prices (millions of US dollars),"307,999",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2020,GDP in current prices (millions of US dollars),"349,488",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2022,GDP in current prices (millions of US dollars),"498,475",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2023,GDP in current prices (millions of US dollars),"501,428",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,1995,GDP per capita (US dollars),"24,851",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2005,GDP per capita (US dollars),"29,943",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2010,GDP per capita (US dollars),"47,234",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2015,GDP per capita (US dollars),"55,743",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2020,GDP per capita (US dollars),"62,185",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2022,GDP per capita (US dollars),"88,227",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2023,GDP per capita (US dollars),"86,616",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,1995,GDP in constant 2015 prices (millions of US dollars),"107,074",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2005,GDP in constant 2015 prices (millions of US dollars),"178,302",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2010,GDP in constant 2015 prices (millions of US dollars),"247,501",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2015,GDP in constant 2015 prices (millions of US dollars),"307,999",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2020,GDP in constant 2015 prices (millions of US dollars),"336,283",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2022,GDP in constant 2015 prices (millions of US dollars),"383,029",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2023,GDP in constant 2015 prices (millions of US dollars),"387,147",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,1995,GDP real rates of growth (percent),7.2,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2005,GDP real rates of growth (percent),7.4,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2010,GDP real rates of growth (percent),14.5,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2015,GDP real rates of growth (percent),3,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2020,GDP real rates of growth (percent),-3.9,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2022,GDP real rates of growth (percent),3.8,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
702,Singapore,2023,GDP real rates of growth (percent),1.1,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
534,Sint Maarten (Dutch part),1995,GDP in current prices (millions of US dollars),0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
534,Sint Maarten (Dutch part),2005,GDP in current prices (millions of US dollars),708,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
534,Sint Maarten (Dutch part),2010,GDP in current prices (millions of US dollars),896,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
534,Sint Maarten (Dutch part),2015,GDP in current prices (millions of US dollars),"1,367",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
534,Sint Maarten (Dutch part),2020,GDP in current prices (millions of US dollars),"1,240",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
534,Sint Maarten (Dutch part),2022,GDP in current prices (millions of US dollars),"1,569",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
534,Sint Maarten (Dutch part),2023,GDP in current prices (millions of US dollars),"1,677",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
534,Sint Maarten (Dutch part),2005,GDP per capita (US dollars),"22,084",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
534,Sint Maarten (Dutch part),2010,GDP per capita (US dollars),"26,528",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2025."
